tree_id,accession_number,common_name,scientific_name,additional_taxonomy,dbh,quantity,latitude,longitude,source,community_tag,memorial,age_class,condition_class,date_planted,date_inventoried,tree_asset_value
944,844-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,25,,41.839907621,-87.625094395,Unknown,,,Semi- mature,Good,,,9616.25
945,845-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,30,,41.840041443,-87.62509666,Unknown,,,Mature,Fair,,,9891.0
946,846-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,20,,41.840148255,-87.625115379,Unknown,,,Semi- mature,Good,,,6154.4
947,847-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,30,,41.840256434,-87.625090749,Unknown,,,Mature,Good,,,13847.4
948,848-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,26,,41.840363316,-87.625101097,Unknown,,,Mature,Good,,,10400.94
949,849-2022 U,Hackberry,Celtis occidentalis,,7,,41.840457226,-87.625112525,Unknown,,,Semi- mature,Good,,,753.91
950,850-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,23,,41.840595631,-87.625113687,Unknown,,,Semi- mature,Good,,,8139.19
951,851-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,23,,41.840696414,-87.625082067,Unknown,,,Semi- mature,Good,,,8139.19
952,852-2022 U,Hawthorn,Crataegus sp.,,"4,4",,41.839164,-87.625832459,Unknown,,,Semi- mature,Fair,,,492.35
953,853-2022 U,Hawthorn,Crataegus sp.,,"4,3,3,2,2",,41.838865567,-87.625840142,Unknown,,,Semi- mature,Good,,,904.7
954,854-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,19,,41.83855962,-87.625838145,Unknown,,,Semi- mature,Good,,,7776.08
955,855-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,18,,41.838494272,-87.625830688,Unknown,,,Semi- mature,Good,,,6979.09
956,856-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,14,,41.838443404,-87.62584349,Unknown,,,Semi- mature,Good,,,4221.92
957,857-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,19,,41.838414365,-87.625786718,Unknown,,,Semi- mature,Good,,,7776.08
958,858-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,6,,41.838450239,-87.625681199,Unknown,,,Semi- mature,Good,,,775.45
959,859-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,20,,41.838548826,-87.625727928,Unknown,,,Semi- mature,Good,,,8616.16
960,860-2022 U,Hornbeam-American,Carpinus caroliniana,,7,,41.838495778,-87.625572927,Unknown,,,Semi- mature,Good,,,1055.48
961,861-2022 U,Hornbeam-American,Carpinus caroliniana,,7,,41.838473339,-87.625454383,Unknown,,,Semi- mature,Good,,,1055.48
962,862-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,20,,41.838435135,-87.625321124,Unknown,,,Semi- mature,Good,,,8616.16
963,863-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,15,,41.838460173,-87.625248081,Unknown,,,Semi- mature,Good,,,4846.59
964,864-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,18,,41.838564001,-87.625266473,Unknown,,,Semi- mature,Good,,,6979.09
965,865-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,18,,41.838565519,-87.625230881,Unknown,,,Semi- mature,Good,,,6979.09
966,866-2022 U,Crabapple,Malus sp.,,12,,41.83887567,-87.625331331,Unknown,,,Semi- mature,Good,,,3101.82
967,867-2022 U,Crabapple,Malus sp.,,10,,41.839154485,-87.62532643,Unknown,,,Semi- mature,Good,,,2154.04
968,868-2022 U,Crabapple,Malus sp.,,9,,41.839142994,-87.625340764,Unknown,,,Semi- mature,Good,,,1744.77
969,869-2022 U,Tuliptree,Liriodendron tulipifera,,11,,41.839217786,-87.625277312,Unknown,,,Semi- mature,Good,,,2606.39
970,870-2022 U,Tuliptree,Liriodendron tulipifera,,11,,41.839337005,-87.625295478,Unknown,,,Semi- mature,Good,,,2606.39
971,871-2022 U,Maple-Silver,Acer saccharinum,,20,,41.839457485,-87.625586614,Unknown,,,Semi- mature,Good,,,8616.16
972,872-2022 U,Maple-Silver,Acer saccharinum,,17,,41.839441543,-87.625510142,Unknown,,,Semi- mature,Fair,,,4446.55
973,873-2022 U,Maple-Silver,Acer saccharinum,,24,,41.839465355,-87.6253926,Unknown,,,Semi- mature,Good,,,12407.27
974,874-2022 U,Hackberry,Celtis occidentalis,,13,,41.839638627,-87.62494794,Unknown,,,Semi- mature,Good,,,3640.33
975,875-2022 U,Hackberry,Celtis occidentalis,,15,,41.839716307,-87.624852926,Unknown,,,Semi- mature,Good,,,4846.59
976,876-2022 U,Hackberry,Celtis occidentalis,,15,,41.839616522,-87.623700425,Unknown,,,Semi- mature,Good,,,4846.59
977,877-2022 U,Hackberry,Celtis occidentalis,,12,,41.839667511,-87.62380191,Unknown,,,Semi- mature,Good,,,3101.82
978,878-2022 U,Tuliptree,Liriodendron tulipifera,,2,,41.8384832,-87.624983997,Unknown,,,Semi- mature,Good,,,86.16
979,879-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,9,,41.838454508,-87.624865513,Unknown,,,Semi- mature,Good,,,1744.77
980,880-2022 U,Redbud-Eastern,Cercis canadensis,,"8,7,7,6,4,5",,41.838476404,-87.624757551,Unknown,,,Semi- mature,Good,,,5148.16
981,881-2022 U,Hornbeam-American,Carpinus caroliniana,,7,,41.838499751,-87.624593674,Unknown,,,Semi- mature,Good,,,1055.48
